train_loss,step,epoch
10.693558692932129,49,0
9.420146942138672,99,1
8.970413208007812,149,2
8.773701667785645,199,3
8.68093490600586,249,4
8.901518821716309,299,5
8.649859428405762,349,6
8.435837745666504,399,7
8.906055450439453,449,8
8.691895484924316,499,9
8.593957901000977,549,10
8.587749481201172,599,11
8.563002586364746,649,12
8.502631187438965,699,13
8.626437187194824,749,14
8.478848457336426,799,15
8.661296844482422,849,16
8.599922180175781,899,17
8.455801010131836,949,18
8.189279556274414,999,19
